
                                            -----------------------International(From March-2020 to June-2021)-----------------------
                                  --------------------------------------------------------------------------------------------------------------
                                                _________________________________________________________________________________
                                                |  SL   |     Country Name       |    Total Infected     |     Total Deaths     |
                                                |_______|________________________|_______________________|______________________|
                                                |  01   | India                  |      30,411,634       |       399,475	|
                                                |_______|________________________|_______________________|______________________|
                                                |  02   | Turkey	         |       5,425,652       |        49,732        |
                                                |_______|________________________|_______________________|______________________|
                                                |  03   | Iran	                 |       3,218,860       |        84,389        |
                                                |_______|________________________|_______________________|______________________|
                                                |  04   | Indonesia              |       2,203,108       |        58,995        |
                                                |_______|________________________|_______________________|______________________|
                                                |  05   | Philippines            |       1,418,337       |        24,797        |
                                                |_______|________________________|_______________________|______________________|
                                                |  06   | Iraq	                 |       1,345,904       |        17,186        |
                                                |_______|________________________|_______________________|______________________|
                                                |  07   | Pakistan	         |         958,408       |        22,321        |
                                                |_______|________________________|_______________________|______________________|
                                                |  08   | Bangladesh             |         921,559       |        14,646        |
                                                |_______|________________________|_______________________|______________________|
                                                |  09   | Israel                 |	   841,899       |	   6,429	|
                                                |_______|________________________|_______________________|______________________|
                                                |  10   | Japan                  |         798,159       |        14,740        |
                                                |_______|________________________|_______________________|______________________|
                                                |  11   | Jordan	         |	   751,404       |         9,750        |
                                                |_______|________________________|_______________________|______________________|
                                                |  12   | Malaysia               |	   758,967       |         5,254	|
                                                |_______|________________________|_______________________|______________________|
                                                |  13   | Nepal                  |	   640,662       |	   9,145	|
                                                |_______|________________________|_______________________|______________________|
                                                |  14   | UAE                    |	   634,582       |	 606,128        |
                                                |_______|________________________|_______________________|______________________|
                                                |  15   | Lebanon                |         544,866       |	   7,851	|
                                                |_______|________________________|_______________________|______________________|
                                                |  16   | Saudi Arabia           |	   487,592       |         7,819        |
                                                |_______|________________________|_______________________|______________________|
                                                |  17   | Kazakhstan             |         425,573       |         4,375        |
                                                |_______|________________________|_______________________|______________________|
                                                |  18   | Georgia                |	   367,058       |         5,327        |
